Byte 1, Byte 2, Merged byte value
101, 32, -> 256
44, 32, -> 257
100, 32, -> 258
46, 32, -> 259
114, 32, -> 260
50, 48, -> 261
115, 32, -> 262
105, 110, -> 263
111, 110, -> 264
114, 105, -> 265
116, 32, -> 266
116, 104, -> 267
101, 258, -> 268
257, 261, -> 269
97, 110, -> 270
97, 114, -> 271
101, 260, -> 272
121, 32, -> 273
97, 108, -> 274
267, 256, -> 275
118, 268, -> 276
119, 105, -> 277
101, 114, -> 278
264, 32, -> 279
277, 102, -> 280
82, 101, -> 281
83, 280, -> 282
111, 260, -> 283
99, 104, -> 284
269, 49, -> 285
111, 109, -> 286
98, 272, -> 287
32, 275, -> 288
97, 121, -> 289
101, 110, -> 290
111, 114, -> 291
274, 32, -> 292
101, 109, -> 293
46, 10, -> 294
265, 101, -> 295
263, 103, -> 296
269, 50, -> 297
116, 105, -> 298
289, 108, -> 299
34, 259, -> 300
108, 108, -> 301
84, 299, -> 302
116, 295, -> 303
294, 32, -> 304
116, 111, -> 305
259, 281, -> 306
306, 303, -> 307
307, 276, -> 308
302, 283, -> 309
101, 115, -> 310
309, 282, -> 311
117, 115, -> 312
114, 286, -> 313
293, 287, -> 314
41, 259, -> 315
65, 114, -> 316
102, 313, -> 317
315, 34, -> 318
270, 258, -> 319
114, 101, -> 320
111, 117, -> 321
111, 265, -> 322
111, 102, -> 323
103, 263, -> 324
296, 32, -> 325
284, 105, -> 326
93, 32, -> 327
324, 292, -> 328
317, 288, -> 329
322, 328, -> 330
104, 256, -> 331
316, 326, -> 332
332, 276, -> 333
329, 330, -> 334
333, 334, -> 335
335, 279, -> 336
259, 336, -> 337
97, 32, -> 338
115, 116, -> 339
105, 99, -> 340
46, 91, -> 341
101, 99, -> 342
105, 301, -> 343
39, 262, -> 344
311, 266, -> 345
111, 118, -> 346
97, 116, -> 347
97, 262, -> 348
101, 262, -> 349
74, 117, -> 350
323, 32, -> 351
305, 32, -> 352
117, 109, -> 353
84, 331, -> 354
271, 100, -> 355
